# 2006 6 3 14 12 39.81  -7.9142 110.4738    9.39   1.54 0  0 0 1
WON   2.79 1    P
RAT   4.10 0.7  P
NGL   2.82 1    P
WON   4.08 0.5  S
RAT   7.47 0.5  S
NGL   5.11 0.7  S
WAN   2.41 1    P
PEL   4.69 1    P
BUM   6.54 0.7  P
WAN   3.91 0.5  S
PEL   7.79 0.5  S
BUM  11.02 0.5  S
TRI   4.86 0.7  P
PAL   2.78 1    P
TRI   8.02 0.7  S
PAL   4.82 0.5  S
# 2006 6 3  7 14  6.71  -7.9357 110.4707    4.93  0.16 0 0 0 2
WON   1.98 0    P
WON   3.08 0.5  S
WAN   1.88 1    P
PAL   1.81 0.7  P
PAL   3.31 0.5  S
WAN   3.04 0.5  S
NGL   2.78 1    P
NGL   5.35 0.5  S
# 2006 6 3 14 19 33.19  -7.9277 110.4680    8.18   0.29 0 0 0 3
WON   2.17 1   P
WON   3.81 0.7 S
WAN   2.37 1   P
WAN   3.58 0.7 S
RAT   4.02 0.7 P
RAT   7.03 0.7 S
PEL   4.54 0.7 P
PEL   8.62 0.5 S
PAL   2.36 0.7 P
PAL   4.55 0.7 S
# 2006 6 3 14 33 42.01  -7.9448 110.4437    7.36   1.45 0 0 0 4
WON 38.71  0.7  P
WON 39.88  0.5  S
WAN 38.58  1    P
WAN 39.95  0.5  S
PAL 38.68  0.7  P
PAL 39.96  0.5  S
NGL 39.52  0.5  P
NGL 41.19  0.5  S
WON  2.45  0.7  P
WON  3.56  0.5  S
WAN  2.94  1    P
WAN  4.38  0.5  S
TRI  4.28  1    P
TRI  6.85  0.5  S
RAT  3.38  1    P
RAT  5.79  0.5  S
PEL  4.61  1    P
PEL  7.40  0.5  S
PAL  2.47  1    P
PAL  3.63  0.5  S
NGL  3.87  1    P
NGL  6.24  0.5  S
DES  5.58  1    P
BUM  6.04  1    P
BUM 10.20  0.5  S
# 2006 6 3 14 33 41.94  -7.9417 110.4458    7.81   1.80 0 0 0 5
WON  2.49  0.7  P
WON  3.80  0.5  S
WAN  2.99  1    P
WAN  4.16  0.7  S
TRI  4.35  1    P
TRI  6.89  0.5  S
RAT  3.39  1    P
PEL  4.67  1    P
PEL  7.52  0.7  S
PAL  2.48  1    P
PAL  3.65  0.5  S
NGL  3.95  0.7  P
NGL  5.95  0.5  S
DES  5.65  1    P
BUM  6.15  0.7  P
BUM 10.00  0.5  S
# 2006 6 3 14 50 15.69  -7.9212 110.4918    7.45   0.54 0  0  0 6
WON  2.45 0.7   P
WON  3.79 0.5   S
WAN  2.15 0     P
WAN  3.07 0.5   S
TRI  5.05 0.5   P
PAL  2.55 1     P
PAL  3.96 0.5   S
NGL  3.04 0.7   P
NGL  4.68 0.5   S
DES  4.76 1     P
# 2006 6 3  7 23 35.69  -7.9447 110.4740    9.55   0.18 0  0 0 7
WON  2.63 1     P
WON  4.38 0.7   S
WAN  2.49 1     P
WAN  4.30 0.7   S
PAL  2.42 1     P
PAL  4.03 0.7   S
NGL  3.10 0.7   P
NGL  5.91 0.5   S
# 2006 6 3  6 27  9.41  -7.9262 110.3843    7.43   1.13 0  0 0 8
WON   2.12 1    P
WON   3.87 0.5  S
WAN   3.72 0.7  P
WAN   6.50 0.7  S
TRI   2.68 0.7  P
TRI   5.09 0.7  S
PEL   3.02 0.7  P
PEL   6.00 0.5  S
NGL   4.58 0.7  P
NGL   8.57 0.5  S
BUM   4.62 0.7  P
# 2006 6 3 11 26 12.32  -7.8942 110.5140   13.98   1.04 0  0 0 9
WON  3.36  1    P
WON  5.68  0.7  S
WAN  2.99  1    P
WAN  5.02  0.7  S
RAT  5.53  0.5  P
PEL  5.45  0.7  P
PEL  9.40  0.5  S
PAL  3.61  1    P
PAL  6.10  0.7  S
NGL  3.15  0.7  P
NGL  5.38  0.7  S
DES  4.39  0.7  P
BUM  7.39  0.7  P
BUM 12.39  0.5  S
# 2006 6 3 11 19 50.85  -7.9992 110.4088    7.59   1.38 0 0 0 10
WON   3.16 1    P
WON   5.57 0.7  S
WAN   3.81 1    P
WAN   6.76 0.7  S
TRI   3.82 0.7  P
TRI   6.81 0.7  S
RAT   2.33 1    P
RAT   4.05 0.7  S
PEL   4.62 0.7  P
PEL   8.15 0.7  S
PAL   2.57 1    P
PAL   4.50 0.7  S
NGL   4.84 1    P
NGL   8.48 0.5  S
BUM   5.43 1    P
BUM   9.85 0.7  S
# 2006 6 3  7 27  3.69  -7.9663 110.4057    5.94   0.00 0 0 0 11
WON  2.52 1   P 
WAN  3.31 1   P 
TRI  3.71 0.5 P 
PAL  2.44 1   P 
WON  2.52 1   P 
WON  4.44 0.7 S 
WAN  3.30 1   P 
WAN  5.83 0.7 S 
TRI  3.69 0.7 P 
TRI  5.53 0.7 S 
PEL  4.00 0.7 P 
PEL  7.31 0.7 S
PAL  2.45 1   P 
PAL  4.30 0.7 S 
# 2006 6 3  7 17 14.85  -7.9900 110.4250   11.66   1.47 0 0 0 12
WON   3.26 1   P
WON   5.72 0.7 S
WAN   3.74 1   P
WAN   6.66 0.7 S
TRI   4.10 1   P
TRI   7.49 0.5 S
PEL   4.72 1   P
PAL   2.74 1   P
PAL   4.77 0.7 S
NGL   4.86 0.5 P
NGL   8.19 0.7 S
BUM   5.60 1   P
BUM  10.01 0.7 S
# 2006 6 3  7 50  3.93  -7.8845 110.5395    5.94   2.09 0 0 0 13
WON   2.82  0.7 P
WON   5.05  0.7 S
WAN   1.35  1   P
WAN   2.47  0.7 S
TRI   6.02  0.7 P
TRI  10.86  0.7 S
PEL   5.56  0.7 P
PEL  10.25  0.7 S
PAL   3.33  1   P
PAL   5.81  0.7 S
NGL   1.57  1   P
NGL   2.69  0.7 S
BUM   7.74  0.7 P
BUM  14.06  0.7 S
# 2006 6 3  7 44 27.54  -7.9302 110.4663    8.93   0.68 0 0 0 14
WON  2.20   1   P
WON  3.88   0.7 S
WAN  2.31   1   P
WAN  4.35   0.7 S
PAL  2.35   1   P
PAL  4.34   0.7 S
BUM  6.19   0   P
BUM 11.29   0.5 S
# 2006 6 3  8 26 43.36  -7.9527 110.4640    9.96   1.67 0 0 0 15
WON   2.66  0.7  P
WON   4.75  0.7  S
WAN   2.72  1    P
WAN   4.78  0.5  S
PEL   4.76  0.7  P
PEL   8.28  0.7  S
PAL   2.25  1    P
PAL   4.03  0.7  S
NGL   3.56  0.7  P
NGL   6.30  0.7  S
BUM   6.18  0.7  P
BUM  11.29  0.7  S
# 2006 6 3  8 46 34.96  -7.9613 110.4453    9.10   3.28 0 0 0 16
WON   2.70  1   P
WON   4.71  0.5 S
WAN   2.95  0.7 P
WAN   4.95  0.7 S
TRI   4.21  1   P
TRI   7.22  0.7 S
PEL   4.59  1   P
PEL   8.03  0.7 S
PAL   2.26  1   P
PAL   4.06  0.7 S
NGL   3.87  1   P
NGL   6.96  0.7 S
BUM   5.81  1   P
BUM  10.41  0.5 S
# 2006 6 3  9 4 50.51  -7.9582 110.4358   11.00   1.30 0 0 0 17
WON   2.97  1   P
WON   4.77  0.7 S
WAN   3.21  0.7 P
WAN   5.70  0.5 S
TRI   4.06  0.7 P
TRI   7.28  0.7 S
PEL   4.50  0.7 P
PEL   7.79  0.7 S
PAL   2.47  0.7 P
PAL   4.67  0.7 S
NGL   4.09  0.5 P
NGL   7.42  0.7 S
BUM   5.50  0.7 P
BUM  10.26  0.7 S
# 2006 6 3  9 43  7.39  -7.9363 110.4772    7.54   0.58 0 0 0 18
WON   2.29  1   P
WON   3.98  0.5 S
WAN   2.07  0.7 P
WAN   3.44  0.7 S
RAT   3.92  1   P
PAL   2.35  1   P
PAL   3.89  0.7 S
NGL   3.33  0.7 P
NGL   5.07  0.5 S
# 2006 6 3 10 2 53.89  -7.9908 110.4070    6.22   1.09 0 0 0 19
WON   2.96  1   P
WON   5.29  0.7 S
WAN   3.67  1   P
WAN   6.08  0.7 S
RAT   2.21  0.7 P
RAT   3.93  0.7 S
PAL   2.39  1   P
PAL   4.30  0.7 S
NGL   5.02  0.7 P
NGL   8.21  0.7 S
BUM   5.23  0.7 P
BUM   9.66  0.7 S
# 2006 6 3 10 19 51.60  -7.9043 110.4733   11.21   0.73 0 0 0 20
WON   2.94   0.7 P
WON   4.27   0.7 S
WAN   2.61   1   P
WAN   4.38   0.7 S
RAT   4.64   0.5 P
PAL   2.74   0.7 P
PAL   5.62   0.7 S
NGL   3.16   0.5 P
NGL   5.45   0.7 S
BUM   6.50   0.5 P
BUM  11.02   0.5 S
# 2006 6 3 10 31 51.71  -7.8770 110.4815   12.11   1.29 0 0 0 21
WON   2.84  1    P
WON   4.54  0.7  S
WAN   3.21  1    P
WAN   4.99  0.5  S
RAT   4.61  0.7  P
PAL   3.62  1    P
PAL   5.95  0.7  S
DES   4.96  0.5  P
DES   8.28  0.7  S
BUM   6.72  0.7  P
BUM  11.80  0.7  S
# 2006 6 3 10 51 16.93  -7.9480 110.4692    6.95   0.73 0 0 0 22
WON   2.25  1    P
WON   4.06  0.7  S
WAN   2.08  1    P
WAN   3.77  0.7  S
RAT   3.75  0.5  P
RAT   6.80  0.7  S
PAL   1.98  1    P
PAL   3.50  0.7  S
NGL   2.96  0    P
NGL   5.73  0.5  S
DES   6.06  0.5  P
# 2006 6 3 11 2 50.82  -7.8722 110.5355    3.73   0.14 0 0 0 23
WON   2.70 1     P
WON   4.54 0.5   S
WAN   1.30 0.7   P
WAN   2.44 0.7   S
PAL   3.34 0.7   P
PAL   5.95 0.7   S
NGL   0.96 0.5   P
NGL   1.94 0.5   S
# 2006 6 3 11 3 37.12  -7.8700 110.5383    3.24  -0.09 0 0 0 24
WON   2.71 0.7  P
WON   4.76 0.7  S
WAN   1.27 1    P
WAN   2.46 0.7  S
PAL   3.42 0.7  P
PAL   6.08 0.7  S
NGL   0.99 0.7  P
# 2006 6 3 11 6 53.59  -7.8753 110.5382    4.29   0.44 0 0 0 25
WON  2.69 1    P
WON  4.74 0.5  S
WAN  1.26 1    P
WAN  2.43 0.5  S
PAL  3.30 0.7  P
PAL  5.99 0.7  S
NGL  1.19 1    P
NGL  2.01 0.5  S
# 2006 6 3 11 12 15.51  -7.8758 110.5372    4.39   0.02 0 0 0 26
WON   2.66 0.7  P
WON   4.81 0.5  S
WAN   1.26 1    P
WAN   2.44 0.7  S
RAT   5.65 0.5  P
PAL   3.35 0.7  P
PAL   6.08 0.7  S
NGL   1.05 1    P
NGL   2.18 0.7  S
# 2006 6 3 11 13 10.10  -7.8705 110.5392    5.85   0.83 0 0 0 27
WON  2.86  1    P
WON  5.03  0.7  S
WAN  1.54  1    P
WAN  2.66  0.7  S
RAT  6.02  0.5  P
PAL  3.53  0.5  P
PAL  6.33  0.7  S
NGL  1.46  1    P
NGL  2.57  0.7  S
DES  3.70  0.5  P
DES  6.50  0.7  S
# 2006 6 3 11 17 19.59  -7.9658 110.4247   12.52   1.13 0 0 0 28
WON   3.28  1   P
WON   5.25  0.7 S
WAN   3.57  1   P
WAN   6.22  0.7 S
RAT   3.30  1   P
RAT   5.94  0.7 S
PEL   4.60  1   P
PEL   8.28  0.5 S
PAL   2.94  1   P
PAL   5.39  0.7 S
NGL   4.34  0.7 P
NGL   7.79  0.7 S
BUM   5.40  0.7 P
BUM  10.34  0.5 S
# 2006 6 3 11 53 48.18  -7.9370 110.4820   10.48   0.64 0 0 0 29
WON   2.76 1    P
WON   4.65 0.5  S
WAN   2.57 1    P
WAN   4.22 0.7  S
RAT   4.27 0.7  P
RAT   7.43 0.5  S
PEL   5.22 0    P
PAL   2.68 1    P
PAL   4.41 0.7  S
NGL   3.38 0.7  P
NGL   5.19 0.5  S
DES   5.12 0.5  P
# 2006 6 3 11 54 20.53  -7.9198 110.5243    8.34   0.24 0 0 0 30
WON  2.82 1    P
WON  5.05 0.7  S
WAN  1.80 1    P
WAN  3.17 0.7  S
PAL  2.68 0.7  P
PAL  4.70 0.7  S
NGL  2.34 1    P
NGL  4.16 0.7  S
# 2006 6 3 11 55 40.57  -7.9370 110.4943   10.65   3.27 0 0 0 31
WON  2.71 1   P
WON  4.56 0.7 S
WAN  2.53 1   P
WAN  4.21 0.7 S
TRI  5.22 1   P
TRI  9.14 0.7 S
RAT  4.23 1   P
PEL  5.19 1   P
PEL  9.20 0.5 S
PAL  2.63 1   P
PAL  4.42 0.7 S
NGL  3.29 1   P
NGL  5.54 0.7 S
DES  4.98 1   P
BUM  6.93 1   P
BUM 11.93 0.7 S
# 2006 6 3 11 55 59.94  -7.9315 110.4778   10.75   2.85 0 0 0 32
WON  2.72  0.7 P
WON  4.54  0.7 S
WAN  2.59  0.7 P
WAN  4.31  0.7 S
RAT  4.41  0.5 P
RAT  7.48  0.7 S
PAL  2.72  0.7 P
PAL  4.62  0.7 S
NGL  3.28  0.7 P
NGL  5.69  0.7 S
DES  5.14  0.5 P
# 2006 6 3 12 0 55.92  -7.9280 110.4820   11.26   0.60 0 0 0 33
WON   2.87  1     P
WON   4.65  0.7   S
WAN   2.68  0.7   P
WAN   4.42  0.7   S
RAT   4.51  0.7   P
RAT   7.65  0.5   S
PAL   2.93  0.5   P
PAL   4.65  0.7   S
NGL   3.38  1     P
NGL   5.15  0.5   S
DES   5.05  0.5   P
# 2006 6 3 12 12  0.00  -7.9315 110.4723    9.23   0.81 0 0 0 34
WON   2.44  1      P
WON   4.05  0.7    S
WAN   2.35  1      P
WAN   4.14  0.7    S
TRI   4.55  0.5    P
TRI   8.03  0.7    S
RAT   4.03  0.5    P
RAT   7.25  0.5    S
PEL   4.66  0.5    P
PAL   2.55  1      P
PAL   4.38  0.7    S
NGL   2.95  0.7    P
NGL   5.54  0.5    S
BUM   6.50  0.5    P
BUM  11.36  0.5    S
# 2006 6 3 12 14 36.73  -7.8875 110.5108   13.17   0.82 0 0 0 35
WON   3.22  1      P
WON   5.36  0.7    S
WAN   2.94  1      P
WAN   4.91  0.7    S
TRI   5.68  0.7    P
TRI   9.94  0.7    S
RAT   5.30  0.5    P
PEL   5.24  0.5    P
PEL   8.87  0.5    S
PAL   3.56  0.7    P
PAL   6.05  0.7    S
NGL   3.17  0.5    P
NGL   5.06  0.7    S
DES   4.35  0.7    P
BUM   7.22  0.7    P
BUM  12.60  0.7    S
# 2006 6 3 12 18  0.30  -7.9142 110.4973   11.17   0.76 0 0 0 36
WON   2.80  1    P
WON   4.93  0.5  S
WAN   2.47  1    P
WAN   4.06  0.7  S
TRI   5.21  0.5  P
TRI   9.28  0.7  S
RAT   4.79  0.7  P
PEL   4.78  0.7  P
PEL   8.57  0.5  S
PAL   2.94  1    P
PAL   4.99  0.7  S
NGL   2.92  0.5  P
NGL   5.13  0.7  S
BUM   6.78  0.7  P
# 2006 6 3 12 20 41.04  -7.9345 110.4810    8.64   0.31 0 0 0 37
WON   2.43 1   P
WON   4.29 0.7 S
WAN   2.23 0.7 P
WAN   3.50 0.7 S
RAT   4.08 0.5 P
RAT   7.40 0.5 S
PAL   2.44 0.7 P
PAL   4.16 0.7 S
NGL   3.05 1   P
# 2006 6 3 12 24  9.84  -7.9238 110.4773    8.18  -0.03 0 0 0 38
WON   2.19 1     P
WON   3.82 0.7   S
WAN   2.17 0.7   P
WAN   3.79 0.7   S
PAL   2.47 0.7   P
PAL   4.25 0.7   S
NGL   2.98 0.7   P
NGL   5.02 0.7   S
DES  10.62 0.5   S
# 2006 6 3 12 25 52.53  -7.9142 110.4847    9.28   0.49 0 0 0 39
WON   2.39  1   P
WON   4.10  0.7 S
WAN   2.38  1   P
WAN   3.59  0.5 S
TRI   5.19  0.5 P
TRI   8.04  0.5 S
PAL   2.67  1   P
PAL   4.50  0.5 S
NGL   3.21  1   P
NGL   5.21  0.5 S
DES   4.89  0.7 P
DES   8.71  0.7 S
BUM   6.78  0.7 P
BUM  11.42  0.5 S
# 2006 6 3 13 2 24.28  -7.9588 110.4315    5.62   0.56 0 0 0 40
WON   2.23   1   P
WON   3.84   0.7 S
WAN   2.88   1   P
WAN   4.64   0.5 S
RAT   3.06   0.5 P
RAT   5.00   0.5 S
PAL   2.11   1   P
PAL   3.60   0.5 S
NGL   3.86   0.7 P
NGL   6.91   0.7 S
# 2006 6 3 13 12 11.69  -7.9508 110.4542    5.25   0.57 0 0 0 41
WON   2.33  1   P
WON   3.56  0.5 S
WAN   2.36  1   P
WAN   3.72  0.5 S
TRI   4.47  0.5 P
RAT   3.38  1   P
RAT   5.73  0.5 S
PEL   4.37  0.5 P
PEL   8.09  0.5 S
PAL   1.99  1   P
PAL   3.01  0.5 S
NGL   3.36  1   P
NGL   5.65  0.5 S
# 2006 6 3 13 12 28.42  -7.9620 110.4453   11.12   0.59 0 0 0 42
WON   3.29 1    P
WON   4.78 0.5  S
WAN   3.06 1    P
WAN   4.90 0.5  S
RAT   3.47 0.5  P
RAT   6.03 0.7  S
PAL   2.98 0.7  P
PAL   4.55 0.5  S
NGL   3.86 1    P
# 2006 6 3 13 22 43.80  -7.9363 110.4828   10.56   1.87 0 0 0 43
WON   2.68  1    P
WON   4.50  0.5  S
WAN   2.64  0.7  P
WAN   4.19  0.5  S
TRI   4.99  0.7  P
TRI   8.69  0.7  S
RAT   4.04  0.7  P
PEL   5.08  0.7  P
PAL   2.65  1    P
PAL   4.41  0.7  S
NGL   3.44  1    P
NGL   5.46  0.5  S
DES   5.03  0.7  P
BUM   6.54  1    P
BUM  11.34  0.5  S
# 2006 6 3 13 39 31.82  -7.9142 110.5237    8.50   0.73 0 0 0 44
WON   2.69  1   P
WON   4.48  0.5 S
WAN   1.99  1   P
WAN   3.01  0.5 S
TRI   5.83  0.5 P
RAT   4.92  0.5 P
PAL   2.94  1   P
PAL   4.72  0.7 S
NGL   2.76  1   P
