root,doydir,station,day,kind,nfiles,nbytes
/Volumes/Untitled/MERAMEX DATA,DOY 127-134_120405,AF1,133,EDL,124,64090790
/Volumes/Untitled/MERAMEX DATA,DOY 127-134_120405,AF1,134,EDL,154,97192933
/Volumes/Untitled/MERAMEX DATA,DOY 127-134_120405,AF2,134,EDL,106,19297180
/Volumes/Untitled/MERAMEX DATA,DOY 127-134_120405,AG1,133,EDL,109,17214979
/Volumes/Untitled/MERAMEX DATA,DOY 127-134_120405,AG1,134,EDL,148,28928949
/Volumes/Untitled/MERAMEX DATA,DOY 127-134_120405,AG2,134,EDL,142,25132335
/Volumes/Untitled/MERAMEX DATA,DOY 127-134_120405,AG3,134,EDL,127,31682416
/Volumes/Untitled/MERAMEX DATA,DOY 127-134_120405,AH1,128,EDL,109,24814541
/Volumes/Untitled/MERAMEX DATA,DOY 127-134_120405,AH1,129,EDL,148,40321520
/Volumes/Untitled/MERAMEX DATA,DOY 127-134_120405,AH1,130,EDL,148,40351273
/Volumes/Untitled/MERAMEX DATA,DOY 127-134_120405,AH1,131,EDL,148,40801173
/Volumes/Untitled/MERAMEX DATA,DOY 127-134_120405,AH1,132,EDL,148,45098980
/Volumes/Untitled/MERAMEX DATA,DOY 127-134_120405,AH1,133,EDL,148,43741658
/Volumes/Untitled/MERAMEX DATA,DOY 127-134_120405,AH1,134,EDL,148,40550716
/Volumes/Untitled/MERAMEX DATA,DOY 127-134_120405,AH3,128,EDL,106,18718293
/Volumes/Untitled/MERAMEX DATA,DOY 127-134_120405,AH3,129,EDL,148,29510128
/Volumes/Untitled/MERAMEX DATA,DOY 127-134_120405,AH3,130,EDL,148,29322352
/Volumes/Untitled/MERAMEX DATA,DOY 127-134_120405,AH3,131,EDL,148,29230776
/Volumes/Untitled/MERAMEX DATA,DOY 127-134_120405,AH3,132,EDL,148,29315627
/Volumes/Untitled/MERAMEX DATA,DOY 127-134_120405,AH3,133,EDL,148,29314795
/Volumes/Untitled/MERAMEX DATA,DOY 127-134_120405,AH3,134,EDL,148,29428545
/Volumes/Untitled/MERAMEX DATA,DOY 127-134_120405,AHB,134,SAM,99,35901440
/Volumes/Untitled/MERAMEX DATA,DOY 127-134_120405,AI1,127,EDL,112,19126192
/Volumes/Untitled/MERAMEX DATA,DOY 127-134_120405,AI1,128,EDL,34,6347331
/Volumes/Untitled/MERAMEX DATA,DOY 127-134_120405,AI1,129,EDL,127,23138970
/Volumes/Untitled/MERAMEX DATA,DOY 127-134_120405,AI1,130,EDL,148,28971187
/Volumes/Untitled/MERAMEX DATA,DOY 127-134_120405,AI1,131,EDL,148,29123168
/Volumes/Untitled/MERAMEX DATA,DOY 127-134_120405,AI1,132,EDL,148,29044541
/Volumes/Untitled/MERAMEX DATA,DOY 127-134_120405,AI1,133,EDL,148,29049874
/Volumes/Untitled/MERAMEX DATA,DOY 127-134_120405,AI1,134,EDL,148,28970855
/Volumes/Untitled/MERAMEX DATA,DOY 127-134_120405,AI2,127,EDL,103,18207252
/Volumes/Untitled/MERAMEX DATA,DOY 127-134_120405,AI2,128,EDL,148,28894427
/Volumes/Untitled/MERAMEX DATA,DOY 127-134_120405,AI2,129,EDL,148,29001248
/Volumes/Untitled/MERAMEX DATA,DOY 127-134_120405,AI2,130,EDL,721,133160306
/Volumes/Untitled/MERAMEX DATA,DOY 127-134_120405,AI2,131,EDL,148,29179744
/Volumes/Untitled/MERAMEX DATA,DOY 127-134_120405,AI2,132,EDL,148,29110753
