idx,sta,kind,recorder,sensor,sensor_sn,lat,lon,elev_m,start,end,days,operator
1,AI1,EDL,3031,L4-3D,1168,-7.9955,110.487,180,2004-05-08T05:00:00.000000Z,2004-10-04T10:00:00.000000Z,149.21,Welle
2,AI2,EDL,3139,L4-3D,2828,-8.00531,110.35599,390,2004-05-06T08:00:00.000000Z,2004-06-09T04:30:00.000000Z,33.85,Asch/Dagmar/Mirjam
3,AI3,EDL,3093,L4-3D,1135A,-7.86492,110.56426,250,2004-05-07T00:00:00.000000Z,2004-10-04T11:00:00.000000Z,150.46,Birger
4,AJ1,EDL,3076,L4-3D,1338A,-8.0925,110.5718,240,2004-05-08T08:00:00.000000Z,2004-10-07T09:00:00.000000Z,152.04,Welle
5,AJ2,EDL,3035,L4-3D,1174,-7.96585,110.64945,230,2004-05-10T07:50:00.000000Z,2004-10-04T09:00:00.000000Z,147.05,Welle
6,AI4,EDL,3043,L4-3D,1181,-7.91245,110.52223,245,2004-05-10T04:30:00.000000Z,2004-07-31T02:30:00.000000Z,81.92,Welle /Wanagama
7,AH1,EDL,3123,L4-3D,1892,-7.98167,110.29288,40,2004-05-07T08:00:00.000000Z,2004-05-24T08:00:00.000000Z,17.0,Dagmar
8,AH3,EDL,3132,L4-3D,1899,-7.74756,110.17489,400,2004-05-07T07:00:00.000000Z,2004-10-06T11:00:00.000000Z,152.17,Mirjam
9,AK1,EDL,3113,L4-3D,1873,-7.97297,110.83443,232,2004-05-11T05:00:00.000000Z,2004-10-07T04:00:00.000000Z,148.96,Welle
10,AK2,EDL,3067,L4-3D,1334A,-8.14749,110.77555,292,2004-05-11T05:00:00.000000Z,2004-10-07T07:00:00.000000Z,149.08,Welle
11,AK3,EDL,3074,L4-3D,1338,-8.03979,110.98377,210,2004-05-12T05:00:00.000000Z,2004-05-22T06:00:00.000000Z,10.04,Welle
12,AK4,EDL,3069,L4-3D,1352A,-8.17903,110.88225,200,2004-05-12T05:00:00.000000Z,2004-10-07T05:00:00.000000Z,148.0,Welle
13,BH1,EDL,3072,L4-3D,1337A,-7.6315,110.18065,417,2004-05-08T08:00:00.000000Z,2004-10-06T03:00:00.000000Z,150.79,Mirjam
