time_utc,latitude,longitude,depth,errh_km,errz_km,nbranch,cid,id,rmsP,rmsS
2004-05-08T13:56:04.002000Z,-8.24852,110.32828,16.724,-1.0,-1.0,1,215,1,0.0,0.0
2004-05-11T23:16:39.526000Z,-8.10032,110.80405,133.548,-1.0,-1.0,1,307,2,0.0,0.0
2004-05-14T01:02:07.735000Z,-8.06343,110.90514,137.171,-1.0,-1.0,1,98,3,0.0,0.0
2004-05-14T02:26:28.733000Z,-8.37301,110.41678,80.427,-1.0,-1.0,1,240,4,0.0,0.0
2004-05-14T14:00:57.280000Z,-8.25754,110.30841,35.369,0.55,0.386,16,1,5,0.25,0.21
2004-05-15T05:46:11.010000Z,-8.55217,110.40608,39.743,-1.0,-1.0,1,97,6,0.0,0.0
2004-05-15T10:22:18.344000Z,-8.36011,110.47809,84.296,0.636,0.082,2,18,7,0.05,0.0
2004-05-15T10:46:25.048000Z,-8.85517,110.42467,75.486,-1.0,-1.0,1,306,8,0.0,0.0
2004-05-15T13:46:06.173000Z,-8.04762,109.23406,78.533,-1.0,-1.0,1,144,9,0.0,0.0
2004-05-15T14:42:00.561000Z,-8.87437,110.13824,32.367,0.814,0.353,5,3,10,0.25,0.42
2004-05-15T17:36:22.968000Z,-8.37499,110.36817,21.995,-1.0,-1.0,1,178,11,0.0,0.0
2004-05-15T20:53:13.866000Z,-8.70325,110.25885,38.068,0.559,0.425,2,23,12,0.23,0.15
2004-05-16T10:14:10.003000Z,-8.70499,110.34207,47.155,-1.0,-1.0,1,209,13,0.0,0.0
2004-05-16T17:36:07.136000Z,-8.17277,109.2137,68.239,-1.0,-1.0,1,114,14,0.0,0.0
2004-05-16T18:38:55.319000Z,-8.24881,109.19225,58.421,0.0,0.0,2,13,15,0.04,0.22
2004-05-17T01:02:24.795000Z,-8.04762,109.67045,94.675,-1.0,-1.0,1,258,16,0.0,0.0
2004-05-17T20:40:15.225000Z,-8.04762,109.2926,94.675,-1.0,-1.0,1,200,17,0.0,0.0
2004-05-19T17:58:56.123000Z,-8.12666,111.28845,111.805,-1.0,-1.0,1,143,18,0.0,0.0
2004-05-20T12:39:06.317000Z,-8.38684,110.69441,41.184,-1.0,-1.0,1,152,19,0.0,0.0
2004-05-21T09:32:00.280000Z,-8.15036,110.83056,97.906,0.0,0.0,2,24,20,0.11,0.29
2004-05-22T12:29:54.112000Z,-7.9093,111.1936,15.53,-1.0,-1.0,1,83,21,0.0,0.0
