time,latitude,longitude,depth,rms,nphs,gap,dist,errh_km,errz_km,time_utc,quality_pass
1084024564.002403,-8.24852,110.32828,16.724447,0.0692528,8,286.016,27.2141,2.55,3.93,2004-05-08 13:56:04.002403021+00:00,True
1084039253.559011,-8.790615,110.186073,25.166016,0.181298,11,330.702,88.4526,7.59,14.3,2004-05-08 18:00:53.559010983+00:00,False
1084039325.969501,-8.416484,111.198477,102.251953,0.090951,10,344.932,77.7732,19.45,10.98,2004-05-08 18:02:05.969501019+00:00,False
1084051358.127705,-8.520556,110.640531,5.976888,0.139816,9,335.736,48.1927,5.71,8.5,2004-05-08 21:22:38.127705096+00:00,False
1084181746.249011,-8.93816,110.532673,25.166016,0.25314,18,336.635,94.1322,8.27,12.9,2004-05-10 09:35:46.249011040+00:00,False
1084203068.943441,-8.708939,109.618398,29.613281,0.334747,11,336.976,123.12,13.62,28.51,2004-05-10 15:31:08.943440914+00:00,False
1084210861.058315,-8.896004,110.37266,78.533203,0.200114,15,333.895,91.9892,14.29,19.16,2004-05-10 17:41:01.058315039+00:00,False
1084248274.230561,-8.369059,110.149136,78.533203,0.236021,16,305.779,46.4022,9.21,7.23,2004-05-11 04:04:34.230561018+00:00,False
1084276583.017003,-8.93816,111.316804,31.754557,0.304992,20,340.729,106.099,10.19,16.53,2004-05-11 11:56:23.017003059+00:00,False
1084279081.200213,-8.782711,110.11943,88.251302,0.156492,9,328.987,107.92,23.3,31.34,2004-05-11 12:38:01.200212955+00:00,False
1084292856.936104,-8.993489,111.14354,25.660156,0.190075,17,340.634,102.359,10.53,12.46,2004-05-11 16:27:36.936104059+00:00,False
1084302750.288503,-8.666783,110.33276,53.990885,0.284215,17,314.73,69.0569,7.04,11.29,2004-05-11 19:12:30.288502932+00:00,False
1084303598.405398,-8.877561,111.303335,63.873698,0.277751,16,342.441,112.971,15.14,19.54,2004-05-11 19:26:38.405397892+00:00,False
1084311782.173183,-8.640436,110.561959,101.098958,0.289419,19,313.538,59.646,10.01,6.86,2004-05-11 21:43:02.173182964+00:00,False
1084314573.476055,-8.711573,110.266103,37.025391,0.296121,17,325.371,76.606,7.69,11.0,2004-05-11 22:29:33.476054907+00:00,False
1084317399.525744,-8.100317,110.804047,133.547526,0.140438,18,197.577,6.11382,10.2,3.06,2004-05-11 23:16:39.525743961+00:00,False
1084367595.622588,-8.772172,110.194086,79.027344,0.149457,9,327.815,102.174,21.25,29.51,2004-05-12 13:13:15.622587919+00:00,False
1084391131.616519,-9.159477,110.393918,39.990234,0.263667,15,317.866,120.243,9.24,19.97,2004-05-12 19:45:31.616518974+00:00,False
1084394156.33886,-8.924986,110.658021,91.216146,0.295598,9,332.53,106.655,33.78,35.91,2004-05-12 20:35:56.338860035+00:00,False
1084412324.863746,-8.780076,111.460415,54.814453,0.407996,29,336.429,97.5135,8.73,13.12,2004-05-13 01:38:44.863745928+00:00,False
1084428720.334697,-9.048819,109.903051,19.895182,0.25338,21,322.863,126.126,6.81,19.72,2004-05-13 06:12:00.334697008+00:00,False
1084442696.556966,-6.917324,110.789945,23.683594,0.403332,9,321.97,96.255,12.99,23.91,2004-05-13 10:04:56.556966066+00:00,False
1084445865.474932,-8.822232,111.444527,34.719401,0.410641,32,335.63,94.4647,8.19,10.36,2004-05-13 10:57:45.474931955+00:00,False
1084448578.978117,-9.114687,111.640084,12.153646,0.320842,11,340.094,133.153,19.52,22.34,2004-05-13 11:42:58.978116989+00:00,False
1084453524.612583,-9.283309,112.772579,78.039063,0.380549,21,350.844,240.952,37.31,42.13,2004-05-13 13:05:24.612582922+00:00,False
1084453868.868013,-8.847262,111.387262,31.672201,0.376033,36,333.539,92.6914,7.15,8.47,2004-05-13 13:11:08.868012905+00:00,False
1084455530.392976,-8.2584,109.180144,55.14388,0.4447,40,322.034,86.7142,7.81,13.54,2004-05-13 13:38:50.392976046+00:00,False
1084461177.074425,-8.856483,111.420616,25.001302,0.341938,23,334.694,95.7309,10.19,10.49,2004-05-13 15:12:57.074424982+00:00,False
1084475401.9403,-9.694327,110.006187,182.796875,0.179832,8,355.421,196.113,112.32,65.41,2004-05-13 19:10:01.940299988+00:00,False
1084485464.818191,-8.932891,110.420655,33.072266,0.405319,17,309.339,95.6642,7.56,14.25,2004-05-13 21:57:44.818191051+00:00,False
1084494281.112168,-8.901274,109.945963,18.248047,0.322283,13,315.268,109.321,8.4,21.35,2004-05-14 00:24:41.112168074+00:00,False
1084496527.735264,-8.06343,110.905139,137.171224,0.196778,14,139.523,9.05028,16.33,4.05,2004-05-14 01:02:07.735264063+00:00,False
1084501588.733065,-8.373011,110.416775,80.427409,0.281794,18,258.463,35.5521,8.87,5.43,2004-05-14 02:26:28.733064890+00:00,False
1084515605.805779,-8.733969,110.803216,39.743164,0.305097,25,305.67,65.2822,5.0,6.88,2004-05-14 06:20:05.805778980+00:00,False
1084529264.021321,-8.903909,110.551337,16.106771,0.319467,8,308.534,107.241,21.03,33.63,2004-05-14 10:07:44.021321058+00:00,False
1084534599.527656,-8.83804,111.375241,33.73112,0.317962,31,329.769,91.0824,6.65,9.74,2004-05-14 11:36:39.527656078+00:00,False
1084534893.374062,-8.210975,111.661301,123.664714,0.239359,21,338.818,76.935,13.84,7.13,2004-05-14 11:41:33.374062061+00:00,False
1084539262.874112,-8.171454,109.215036,72.438802,0.309911,34,319.38,94.568,9.03,14.95,2004-05-14 12:54:22.874111891+00:00,False
1084542330.955954,-8.666783,110.258136,38.178385,0.281677,9,329.749,78.7684,16.1,17.47,2004-05-14 13:45:30.955954075+00:00,False
1084543257.495986,-8.230077,110.300336,36.901855,0.10905,10,253.11,33.2013,3.38,3.22,2004-05-14 14:00:57.495985985+00:00,True
1084574182.416014,-8.832771,111.396559,26.483724,0.284466,23,331.376,92.03,7.09,11.02,2004-05-14 22:36:22.416013956+00:00,False
1084586934.803912,-8.195167,109.175031,70.297526,0.220396,10,304.869,67.045,13.35,16.64,2004-05-15 02:08:54.803911924+00:00,False
1084590085.795401,-8.055526,108.885444,95.498698,0.163206,9,329.433,78.3918,29.89,26.23,2004-05-15 03:01:25.795401096+00:00,False
1084599971.009764,-8.552172,110.40608,39.743164,0.32555,29,281.899,54.2676,3.71,4.85,2004-05-15 05:46:11.009763956+00:00,True
1084611028.636214,-8.881513,111.190009,32.989909,0.256327,25,326.278,85.0854,5.94,7.47,2004-05-15 08:50:28.636214018+00:00,False
1084616538.448688,-8.357203,110.488679,84.051107,0.232164,16,282.446,30.823,6.92,3.41,2004-05-15 10:22:18.448688030+00:00,False
1084617985.047944,-8.855166,110.424671,75.486003,0.378663,36,287.566,86.3346,7.14,11.16,2004-05-15 10:46:25.047944069+00:00,False
1084622209.359186,-8.864388,110.959318,34.719401,0.293598,16,323.459,91.734,7.14,12.64,2004-05-15 11:56:49.359185934+00:00,False
1084628766.172514,-8.047622,109.234057,78.533203,0.269533,12,299.258,49.723,21.1,16.39,2004-05-15 13:46:06.172513962+00:00,False
1084630434.308231,-8.860436,110.126016,24.918945,0.22714,21,313.764,98.3766,4.66,12.27,2004-05-15 14:13:54.308231115+00:00,False
1084632120.581273,-8.865705,110.128678,32.001628,0.334851,26,284.47,98.8116,4.18,9.85,2004-05-15 14:42:00.581273079+00:00,True
1084635910.867419,-8.506065,110.713787,39.990234,0.235545,16,326.576,40.4508,5.06,4.81,2004-05-15 15:45:10.867419004+00:00,False
1084641339.348916,-8.769537,110.671283,68.650391,0.297747,17,335.268,76.0709,12.15,15.63,2004-05-15 17:15:39.348916054+00:00,False
1084642582.967812,-8.374987,110.368173,21.99528,0.251718,33,258.137,38.584,1.99,3.88,2004-05-15 17:36:22.967812061+00:00,True
1084643896.203474,-8.2584,109.185469,59.097005,0.2952,25,303.894,72.6439,8.48,13.27,2004-05-15 17:58:16.203474045+00:00,False
1084647705.421894,-8.897322,110.507334,18.989258,0.494073,36,305.233,88.4509,4.79,9.96,2004-05-15 19:01:45.421894073+00:00,False
1084654393.769737,-8.707621,110.267439,37.931315,0.380196,26,296.853,76.1468,4.65,7.45,2004-05-15 20:53:13.769737005+00:00,True
1084670534.623486,-8.903909,112.236796,2.929688,0.227207,11,348.598,167.772,37.19,38.41,2004-05-16 01:22:14.623486042+00:00,False
1084687753.252845,-8.411214,108.897311,16.930339,0.47873,37,315.078,104.181,8.63,16.19,2004-05-16 06:09:13.252845049+00:00,False
1084695148.676731,-7.540437,111.689983,24.095378,0.363244,30,308.955,90.1706,5.9,7.41,2004-05-16 08:12:28.676731110+00:00,False
1084702450.002976,-8.704987,110.342072,47.155273,0.3967,27,295.885,72.6401,5.55,7.58,2004-05-16 10:14:10.002975941+00:00,False
1084708053.279309,-10.126422,111.001167,121.523437,0.389554,14,344.885,243.295,36.96,57.66,2004-05-16 11:47:33.279309034+00:00,False
1084713611.90147,-7.892173,108.976525,193.997396,0.155361,11,322.124,76.6326,71.05,44.09,2004-05-16 13:20:11.901469946+00:00,False
1084714006.701966,-8.355885,111.382115,133.382812,0.193276,8,343.969,80.613,62.38,35.89,2004-05-16 13:26:46.701966047+00:00,False
1084714121.060376,-9.03301,111.194299,21.871745,0.389833,20,325.405,100.92,7.94,14.37,2004-05-16 13:28:41.060375929+00:00,False
1084725104.012082,-8.571933,112.006102,80.345052,0.30847,9,346.891,126.967,24.09,28.42,2004-05-16 16:31:44.012082100+00:00,False
1084726889.111798,-9.409776,112.837501,72.768229,0.397059,19,348.279,253.926,34.38,48.18,2004-05-16 17:01:29.111798048+00:00,False
1084728967.135862,-8.172772,109.2137,68.238607,0.262029,28,298.226,62.7836,8.15,9.98,2004-05-16 17:36:07.135862112+00:00,False
1084732735.381049,-8.23337,109.194869,59.838216,0.348575,34,299.15,69.6994,6.81,10.98,2004-05-16 18:38:55.381048918+00:00,False
1084738515.890417,-7.879,108.941995,131.241536,0.390791,44,318.223,64.03,8.01,4.54,2004-05-16 20:15:15.890417099+00:00,False
