time,latitude,longitude,depth,rms,nphs,gap,dist,errh_km,errz_km,time_utc
1084024564.002403,-8.24852,110.32828,16.724447,0.0692528,8,286.016,27.2141,2.55,3.93,2004-05-08 13:56:04.002403021+00:00
1084543257.495986,-8.230077,110.300336,36.901855,0.10905,10,253.11,33.2013,3.38,3.22,2004-05-14 14:00:57.495985985+00:00
1084599971.009764,-8.552172,110.40608,39.743164,0.32555,29,281.899,54.2676,3.71,4.85,2004-05-15 05:46:11.009763956+00:00
1084632120.581273,-8.865705,110.128678,32.001628,0.334851,26,284.47,98.8116,4.18,9.85,2004-05-15 14:42:00.581273079+00:00
1084642582.967812,-8.374987,110.368173,21.99528,0.251718,33,258.137,38.584,1.99,3.88,2004-05-15 17:36:22.967812061+00:00
1084654393.769737,-8.707621,110.267439,37.931315,0.380196,26,296.853,76.1468,4.65,7.45,2004-05-15 20:53:13.769737005+00:00
1085056746.316855,-8.386843,110.694412,41.184408,0.244357,24,280.442,28.0776,3.0,2.26,2004-05-20 12:39:06.316854954+00:00
1085326823.787768,-7.690287,110.017119,14.933187,0.24275,35,102.821,6.6918,0.85,1.21,2004-05-23 15:40:23.787767887+00:00
1085328249.098392,-7.613551,111.12732,9.065267,0.22995,25,266.029,2.77102,2.05,1.88,2004-05-23 16:04:09.098392010+00:00
1085346882.428648,-8.27355,110.292327,31.795736,0.211614,25,250.043,30.6362,2.38,2.4,2004-05-23 21:14:42.428647995+00:00
1085355567.855576,-8.257742,110.305647,33.031087,0.218768,12,256.842,28.6087,3.23,3.2,2004-05-23 23:39:27.855576038+00:00
1085374882.342887,-7.756485,111.339591,7.129883,0.221073,18,286.798,26.2397,3.14,4.91,2004-05-24 05:01:22.342886925+00:00
1085442632.911895,-7.815437,110.544208,20.368734,0.248125,21,138.685,11.0559,1.12,1.83,2004-05-24 23:50:32.911895037+00:00
1085458164.333642,-8.071993,110.179334,30.972168,0.356086,43,207.432,17.1501,2.3,1.99,2004-05-25 04:09:24.333642006+00:00
1085514732.408297,-8.459957,110.733738,75.81543,0.346255,46,272.005,35.051,4.52,2.73,2004-05-25 19:52:12.408297062+00:00
1085567088.432696,-8.479717,110.11707,71.944661,0.486109,71,253.755,58.9255,4.29,4.22,2004-05-26 10:24:48.432696104+00:00
1085586067.458868,-7.678431,109.916106,16.415609,0.201102,15,182.348,3.8029,1.37,1.2,2004-05-26 15:41:07.458868027+00:00
1085742149.299165,-8.390137,110.676436,22.201172,0.25024,26,270.821,29.1078,2.33,3.18,2004-05-28 11:02:29.299165010+00:00
1085752431.936245,-8.390795,110.678434,22.077637,0.276009,32,271.001,29.0942,2.11,3.02,2004-05-28 13:53:51.936244965+00:00
1085759695.280251,-7.830916,110.365688,9.888835,0.116086,10,149.928,13.4338,3.19,3.78,2004-05-28 15:54:55.280251026+00:00
1085806950.836308,-8.309119,110.98993,12.030111,0.244398,24,297.97,18.6891,2.29,2.24,2004-05-29 05:02:30.836308002+00:00
1085814308.800678,-7.721904,110.62928,37.951904,0.325901,47,38.1088,5.42374,1.19,1.76,2004-05-29 07:05:08.800678015+00:00
1085908950.113267,-7.682054,110.638241,32.94873,0.145531,18,135.285,9.75595,3.14,2.27,2004-05-30 09:22:30.113266945+00:00
