idx,time_utc,latitude,longitude,depth,n_picks,n_stations,n_P,n_S
0,2004-05-08T13:56:03.787076Z,-8.280606311681618,110.31927953129147,14.16015625,8,4,4,4
1,2004-05-08T18:00:53.150729Z,-8.821157295662138,110.17895995076853,13.18359375,11,6,6,5
2,2004-05-08T18:02:06.080031Z,-8.267767294249108,111.3364144508311,98.14453125,10,5,5,5
3,2004-05-08T21:22:38.014169Z,-8.532925899021343,110.64996055157769,3.41796875,9,5,4,5
4,2004-05-10T09:35:46.383774Z,-8.965463598820053,110.5609650847529,23.92578125,18,9,9,9
5,2004-05-10T15:31:09.852226Z,-8.56817827174329,109.70840243489897,94.23828125,11,6,6,5
6,2004-05-10T17:41:01.281489Z,-8.77324051799425,110.49727941234003,100.09765625,15,9,8,7
7,2004-05-11T04:04:34.266645Z,-8.34058911269863,110.17936794086323,85.44921875,16,8,8,8
8,2004-05-11T11:56:23.130137Z,-8.940413175372589,111.37609219748443,31.73828125,20,11,11,9
9,2004-05-11T12:38:01.184432Z,-8.785067820502004,110.12806601403736,94.23828125,9,5,4,5
10,2004-05-11T16:27:37.208610Z,-8.940529553065396,111.32515008511491,31.73828125,17,10,9,8
11,2004-05-11T19:12:30.553821Z,-8.653064341198922,110.3445563175038,62.98828125,17,10,10,7
12,2004-05-11T19:26:38.448851Z,-8.844397748441315,111.33766818720304,75.68359375,16,9,9,7
13,2004-05-11T21:43:02.366240Z,-8.737197648979668,110.49728002498348,93.26171875,19,10,9,10
14,2004-05-11T22:29:33.482022Z,-8.749130619669254,110.25540382043754,35.64453125,17,9,9,8
15,2004-05-11T23:16:39.524080Z,-8.112325020094264,110.81502720976424,137.20703125,18,11,11,7
16,2004-05-12T13:13:15.507133Z,-8.88122746780706,110.17890728316324,62.01171875,9,5,4,5
17,2004-05-12T19:45:30.752620Z,-9.181691833624779,110.35707273274872,20.01953125,15,11,11,4
18,2004-05-12T20:35:55.999999Z,-8.268565111159674,110.7388625203147,153.80859375,9,6,5,4
19,2004-05-13T01:38:44.765927Z,-8.783997265426933,111.47756294918155,62.98828125,29,20,20,9
20,2004-05-13T06:12:01.523471Z,-9.037032575328759,109.8857517754455,70.80078125,21,14,12,9
21,2004-05-13T10:04:58.389656Z,-7.031023103494326,110.7635411502434,65.91796875,9,5,4,5
22,2004-05-13T10:57:45.084440Z,-8.868150267689737,111.4523182384058,27.83203125,32,18,17,15
23,2004-05-13T11:42:58.799587Z,-9.120094879513065,111.56764666042096,0.48828125,11,8,5,6
24,2004-05-13T13:05:23.650743Z,-9.862576845505377,112.13170082741134,0.48828125,21,13,11,10
25,2004-05-13T13:11:08.390386Z,-8.916475320009855,111.33783107574129,19.04296875,36,22,21,15
26,2004-05-13T13:38:50.014122Z,-8.326398518272912,109.14947485487777,31.73828125,40,25,23,17
27,2004-05-13T15:12:57.443381Z,-8.892301553819495,111.40144561771521,23.92578125,23,14,11,12
28,2004-05-13T19:10:01.683456Z,-10.165805620282548,111.32809304724515,62.98828125,8,5,5,3
29,2004-05-13T21:57:44.765073Z,-8.965458772204972,110.42084933748879,25.87890625,17,10,7,10
30,2004-05-14T00:24:41.234695Z,-8.916998491316772,109.94963228724208,11.23046875,13,9,8,5
31,2004-05-14T01:02:07.798127Z,-8.088230779393145,110.8912600152585,141.11328125,14,9,7,7
32,2004-05-14T02:26:28.442206Z,-8.4728584167283,110.37007331650929,76.66015625,18,10,10,8
33,2004-05-14T06:20:05.898540Z,-8.749083536428593,110.81553718281452,47.36328125,25,13,12,13
34,2004-05-14T10:07:43.840311Z,-8.929424175952736,110.53548636213358,11.23046875,8,5,3,5
35,2004-05-14T11:36:39.621567Z,-8.868306476895372,111.38865429764883,31.73828125,31,18,18,13
36,2004-05-14T11:41:33.429316Z,-8.278954628163143,111.66697463079814,124.51171875,21,13,11,10
37,2004-05-14T12:54:22.856260Z,-8.20641269844457,109.18801171615802,71.77734375,34,20,18,16
38,2004-05-14T13:45:30.870050Z,-8.616927818394537,110.19186194505745,62.98828125,9,6,6,3
39,2004-05-14T14:00:57.670654Z,-8.256564745677501,110.29386262332183,35.64453125,10,6,6,4
40,2004-05-14T22:36:22.342580Z,-8.868276102523692,111.4013871784524,22.94921875,23,15,13,10
41,2004-05-15T02:08:54.832098Z,-8.15828356171679,109.16275422615932,76.66015625,10,7,3,7
42,2004-05-15T03:01:26.283637Z,-7.497244462997292,109.03799305457204,113.76953125,9,5,5,4
43,2004-05-15T05:46:11.222290Z,-8.568977834774248,110.38276422996611,38.57421875,29,16,16,13
44,2004-05-15T08:50:28.580824Z,-8.916786860391973,111.18501134865369,25.87890625,25,14,13,12
45,2004-05-15T10:22:18.542474Z,-8.340721637069112,110.49728659142555,88.37890625,16,9,8,8
46,2004-05-15T10:46:24.784459Z,-8.953438053167142,110.39537733249257,62.01171875,36,19,18,18
47,2004-05-15T11:56:49.241784Z,-8.905122569529818,110.95575797460693,27.83203125,16,9,8,8
48,2004-05-15T13:46:06.339851Z,-8.002336811754924,109.22678346142938,83.49609375,12,7,6,6
49,2004-05-15T14:13:54.293039Z,-8.893180552979072,110.11522149144737,22.94921875,21,12,11,10
50,2004-05-15T14:42:00.820792Z,-8.893180552979072,110.11522149144737,31.73828125,26,15,15,11
51,2004-05-15T15:45:10.920780Z,-8.532889593882695,110.72629877276862,40.52734375,16,8,8,8
52,2004-05-15T17:15:39.469521Z,-8.701126618651113,110.65002523123556,82.51953125,17,9,8,9
53,2004-05-15T17:36:22.940211Z,-8.400771686273721,110.37009807726737,20.99609375,33,17,16,17
54,2004-05-15T17:58:16.319009Z,-8.254416439786466,109.1751425123493,63.96484375,25,14,14,11
55,2004-05-15T19:01:45.506047Z,-8.917411304820948,110.51001306445592,16.11328125,36,24,20,16
56,2004-05-15T20:53:13.654890Z,-8.749130619669254,110.25540382043754,33.69140625,26,15,12,14
57,2004-05-16T01:22:14.836954Z,-9.069986120219268,112.12797331190384,0.48828125,11,8,7,4
58,2004-05-16T06:09:12.653578Z,-8.42178365597866,108.95841224540715,0.48828125,37,30,26,11
59,2004-05-16T08:12:28.488941Z,-7.558042858498007,111.72840386567466,19.04296875,30,19,18,12
60,2004-05-16T10:14:10.015950Z,-8.725138525589074,110.31906695812643,46.38671875,27,14,14,13
61,2004-05-16T11:47:32.974102Z,-10.322620259273315,111.00879801088004,62.98828125,14,9,8,6
62,2004-05-16T13:20:11.887247Z,-8.013242557988423,108.90918522841197,191.89453125,11,8,8,3
63,2004-05-16T13:26:45.887732Z,-8.278522876932218,111.80680502338667,107.91015625,8,5,4,4
64,2004-05-16T13:28:40.917028Z,-9.060922323908198,111.1980210487997,16.11328125,20,11,10,10
65,2004-05-16T16:31:44.146577Z,-8.53007360085141,111.99843549131965,91.30859375,9,6,4,5
66,2004-05-16T17:01:29.716136Z,-9.93462867470802,112.13205591009819,124.51171875,19,14,14,5
67,2004-05-16T17:36:07.336522Z,-8.122413807848668,109.21370000318127,76.66015625,28,19,15,13
68,2004-05-16T18:38:55.489491Z,-8.242405088239236,109.17518262761284,62.98828125,34,21,16,18
69,2004-05-16T20:15:15.750411Z,-7.929073986351271,108.88411308920556,129.39453125,44,33,28,16
70,2004-05-16T21:37:50.441915Z,-9.02519409334772,111.00686435074084,20.01953125,23,13,12,11
71,2004-05-17T01:02:24.857584Z,-8.051526491011732,109.67132315419897,99.12109375,24,13,12,12
72,2004-05-17T04:58:10.921907Z,-8.795943086740069,111.50305442186075,20.99609375,21,12,9,12
73,2004-05-17T14:09:32.866821Z,-8.363425847841196,111.5273554311372,115.72265625,21,13,12,9
74,2004-05-17T15:56:09.853468Z,-9.048884754977294,111.2107377583325,19.04296875,11,7,5,6
75,2004-05-17T16:13:42.730452Z,-8.928459384920805,111.3505934905814,34.66796875,16,9,7,9
76,2004-05-17T17:12:09.012087Z,-7.9771137633709,108.88392456590778,172.36328125,23,15,15,8
77,2004-05-17T17:57:59.746272Z,-8.640934643144842,110.84090076423773,96.19140625,24,12,12,12
78,2004-05-17T20:40:15.219381Z,-8.08649747344483,109.25193152714034,92.28515625,22,14,12,10
79,2004-05-17T21:11:17.964192Z,-8.809095827231205,110.87924820267688,36.62109375,21,11,10,11
80,2004-05-18T02:25:12.936685Z,-8.820034804625625,111.47765719551849,31.73828125,15,8,7,8
81,2004-05-18T17:43:55.928391Z,-8.712836568594563,110.00085076646216,28.80859375,21,12,12,9
82,2004-05-19T02:29:25.736978Z,-8.712559106025603,111.18463727679679,62.01171875,24,13,12,12
83,2004-05-19T10:36:49.648055Z,-8.989483961494193,110.40810526636707,62.98828125,9,6,5,4
84,2004-05-19T17:58:55.873069Z,-8.279806910846396,111.32372615373937,108.88671875,26,14,12,14
85,2004-05-20T09:53:00.422982Z,-10.213885915571845,111.31543337166232,8.30078125,11,7,6,5
86,2004-05-20T12:39:06.574785Z,-8.400751148892065,110.68806678524363,41.50390625,24,12,12,12
87,2004-05-20T15:00:57.058834Z,-8.484790692827113,110.78987796726567,22.94921875,13,7,6,7
88,2004-05-20T19:30:51.768840Z,-8.279063887002009,111.62883779773566,107.91015625,8,4,4,4
89,2004-05-20T21:02:38.769932Z,-8.73574326786604,109.4534846591361,14.16015625,10,7,5,5
90,2004-05-20T21:26:12.528444Z,-8.845068532668265,110.942951203071,32.71484375,16,10,8,8
91,2004-05-20T22:00:29.658999Z,-10.262915946297367,110.35660114122298,62.01171875,13,9,7,6
92,2004-05-21T06:32:48.355505Z,-9.121644640269373,110.57373307922671,18.06640625,14,10,9,5
93,2004-05-21T09:32:00.089930Z,-8.280546402755181,110.7897286340458,99.12109375,27,16,14,13
94,2004-05-21T10:31:43.606619Z,-8.92940582232672,110.62464208984682,20.99609375,19,13,8,11
95,2004-05-21T15:29:37.416824Z,-7.436659764643097,108.88597782523912,225.09765625,18,14,12,6
96,2004-05-21T20:18:52.090587Z,-9.311751862182925,109.27334977404318,248.53515625,9,6,4,5
97,2004-05-21T21:41:29.527148Z,-8.025398458157392,108.94724439633903,125.48828125,8,5,4,4
98,2004-05-22T04:04:14.513202Z,-9.157688977781984,110.56099556295301,12.20703125,19,15,13,6
