time,latitude,longitude,depth,rms,nphs,gap,dist,errh_km,errz_km,time_utc,quality_pass
1086222181.429022,-8.213598,109.734843,249.670573,0.469639,17,289.381,54.1505,85.96,13.08,2004-06-03 00:23:01.429022074+00:00,False
1086254393.459544,-8.281442,110.286529,29.983887,0.213395,15,275.649,31.6406,2.85,4.02,2004-06-03 09:19:53.459543943+00:00,True
1086270043.323098,-8.209646,110.364415,26.730794,0.169932,8,284.019,27.3705,12.27,10.03,2004-06-03 13:40:43.323097944+00:00,False
1086273991.714634,-8.917071,110.531013,32.083984,0.243758,25,315.278,89.715,4.47,8.15,2004-06-03 14:46:31.714633942+00:00,False
1086279042.288304,-8.396712,111.115437,76.30957,0.294157,20,308.287,46.5186,7.73,5.51,2004-06-03 16:10:42.288304090+00:00,False
1086281992.216803,-8.816951,111.010903,36.037109,0.400076,13,337.409,93.8826,12.04,20.84,2004-06-03 16:59:52.216803074+00:00,False
1086315493.88122,-9.060663,110.286937,22.942383,0.462713,35,316.697,112.12,4.86,11.11,2004-06-04 02:18:13.881220102+00:00,False
1086319718.361753,-7.894138,109.862389,22.736491,0.19794,23,261.829,21.2559,2.63,2.89,2004-06-04 03:28:38.361752987+00:00,True
1086327654.044619,-8.943418,111.736576,17.589193,0.265834,22,335.852,137.69,10.04,23.86,2004-06-04 05:40:54.044619083+00:00,False
1086350305.77038,-8.96713,110.314976,63.544271,0.372804,20,321.321,101.274,8.51,16.85,2004-06-04 11:58:25.770380020+00:00,False
1086352123.3242,-8.463897,110.21122,39.001953,0.240268,14,304.336,53.4186,5.97,9.87,2004-06-04 12:28:43.324199915+00:00,False
1086362569.759483,-10.205452,109.945188,229.904948,0.390761,14,344.335,260.735,31.56,23.42,2004-06-04 15:22:49.759483099+00:00,False
1086366188.529599,-8.931562,110.428336,17.012695,0.441466,43,311.38,94.6275,4.46,7.08,2004-06-04 16:23:08.529598951+00:00,False
1086366548.044451,-8.143778,110.577348,123.25293,0.25761,31,209.222,5.73423,6.89,2.56,2004-06-04 16:29:08.044450998+00:00,False
1086367101.329469,-8.938148,110.402999,35.048828,0.326383,19,320.055,103.856,6.17,15.58,2004-06-04 16:38:21.329468966+00:00,False
1086367156.962024,-9.025094,111.205991,32.907552,0.438203,14,328.008,108.391,10.42,22.27,2004-06-04 16:39:16.962023973+00:00,False
1086373508.410889,-9.01719,110.290954,19.565755,0.282644,14,326.703,107.36,8.72,13.29,2004-06-04 18:25:08.410888910+00:00,False
1086375189.837888,-8.325574,110.098122,29.530924,0.208381,22,290.415,45.5287,2.99,5.14,2004-06-04 18:53:09.837888002+00:00,True
1086383063.052247,-8.30779,110.938874,21.99528,0.283438,29,309.259,25.2994,2.77,3.64,2004-06-04 21:04:23.052247047+00:00,False
1086397400.550736,-8.529766,110.192536,75.733073,0.204954,8,304.117,77.6375,50.22,26.7,2004-06-05 01:03:20.550735950+00:00,False
1086427526.867178,-8.427011,111.170093,86.76888,0.27205,22,327.142,53.3566,8.39,5.82,2004-06-05 09:25:26.867177963+00:00,False
1086447206.810135,-8.687849,111.493116,76.391927,0.26838,11,346.646,116.16,24.37,29.17,2004-06-05 14:53:26.810134888+00:00,False
1086448383.248679,-8.463897,110.525541,79.192057,0.255005,12,327.571,52.2549,14.57,12.78,2004-06-05 15:13:03.248678923+00:00,False
1086462152.500215,-9.093597,110.54975,30.601563,0.298794,12,324.973,111.344,13.12,19.97,2004-06-05 19:02:32.500215054+00:00,False
1086527885.27358,-8.73264,111.485248,25.166016,0.253025,28,328.306,101.529,5.89,11.69,2004-06-06 13:18:05.273580074+00:00,False
1086551869.865266,-8.835394,110.426998,36.860677,0.25335,9,340.972,93.6258,29.42,33.24,2004-06-06 19:57:49.865266085+00:00,False
