idx,time_utc,latitude,longitude,depth,n_picks,n_stations,n_P,n_S
0,2004-06-03T00:23:01.071232Z,-8.940316010569076,109.39254718947556,212.40234375,17,12,9,8
1,2004-06-03T09:19:53.514294Z,-8.309413133775271,110.2834879759103,28.80859375,15,9,6,9
2,2004-06-03T13:40:43.279463Z,-8.246196609593078,110.34637975181323,22.94921875,8,4,4,4
3,2004-06-03T14:46:31.863521Z,-8.932756302126768,110.51715569817456,23.92578125,25,14,12,13
4,2004-06-03T16:10:42.364796Z,-8.372098292391708,111.11894492718204,80.56640625,20,12,11,9
5,2004-06-03T16:59:52.393366Z,-8.851027011359474,111.01186288671946,47.36328125,13,8,6,7
6,2004-06-04T02:18:13.466402Z,-9.059198522077985,110.2831755197901,6.34765625,35,22,20,15
7,2004-06-04T03:28:38.372861Z,-7.8934611033638475,109.84397295344537,23.92578125,23,14,11,12
8,2004-06-04T05:40:53.514356Z,-9.012276109517716,111.58799215385078,0.48828125,22,14,13,9
9,2004-06-04T11:58:25.777331Z,-9.014048082516432,110.32819074022501,61.03515625,20,12,9,11
10,2004-06-04T12:28:43.934331Z,-8.426821100186375,110.22054551163447,49.31640625,14,7,7,7
11,2004-06-04T15:22:48.671453Z,-10.774858031024474,109.81191108842235,124.51171875,14,9,7,7
12,2004-06-04T16:23:08.092303Z,-8.941797628303705,110.44517868266554,5.37109375,43,28,24,19
13,2004-06-04T16:29:07.720544Z,-8.363633213898503,110.5439919181641,120.60546875,31,18,17,14
14,2004-06-04T16:38:21.662471Z,-8.93276284633843,110.40918999863203,62.98828125,19,11,8,11
15,2004-06-04T16:39:17.086800Z,-9.058423664348275,111.21017903283095,27.83203125,14,11,4,10
16,2004-06-04T18:25:08.031726Z,-9.041127779956023,110.27418359719145,11.23046875,14,11,6,8
17,2004-06-04T18:53:09.815187Z,-8.354453957667225,110.0858363206888,28.80859375,22,12,12,10
18,2004-06-04T21:04:22.993217Z,-8.30909733291637,110.96614359016046,24.90234375,29,15,14,15
19,2004-06-05T01:03:21.903979Z,-8.372614035387505,110.21159227238753,88.37890625,8,5,3,5
20,2004-06-05T09:25:26.936817Z,-8.426200002163734,111.17294547401525,89.35546875,22,13,11,11
21,2004-06-05T14:53:26.871495Z,-8.732555038030792,111.49721675957986,74.70703125,11,6,6,5
22,2004-06-05T15:13:03.383294Z,-8.490105007360402,110.54402548643858,80.56640625,12,7,6,6
23,2004-06-05T19:02:32.662974Z,-9.131461397271051,110.60721811559662,31.73828125,12,9,9,3
24,2004-06-06T13:18:05.237928Z,-8.75965109590088,111.49729313748799,20.99609375,28,16,14,14
25,2004-06-06T19:57:50.013207Z,-8.860492967365412,110.3912054213,48.33984375,9,5,4,5
26,2004-06-06T20:54:37.855485Z,-9.068235664534171,110.58918795631044,3.41796875,26,21,17,9
27,2004-06-07T08:46:56.388724Z,-7.774904529438165,111.58436521071853,191.89453125,8,5,3,5
28,2004-06-07T12:06:34.463610Z,-8.950826506671456,110.38219569366953,62.01171875,38,20,19,19
29,2004-06-07T14:03:07.086158Z,-8.381176784682461,109.7893497571667,62.01171875,12,7,5,7
30,2004-06-07T14:43:25.374729Z,-8.498265196808719,111.27192709687125,120.60546875,10,6,4,6
31,2004-06-07T14:57:52.663592Z,-8.217477107604218,111.58559887149187,137.20703125,18,12,11,7
32,2004-06-08T11:03:49.602955Z,-8.815328606827025,110.44517714188534,32.71484375,50,29,26,24
33,2004-06-08T14:47:43.535012Z,-9.077209175158409,110.69719957120013,20.99609375,20,15,9,11
34,2004-06-08T15:22:29.671529Z,-8.164723528493571,110.82229117740967,93.26171875,24,14,14,10
35,2004-06-08T22:31:52.349522Z,-8.65121658925295,111.51496667949938,14.16015625,21,12,10,11
36,2004-06-08T23:40:31.282234Z,-8.71451586428286,111.48817564313227,29.78515625,9,5,4,5
37,2004-06-09T00:36:28.299696Z,-8.74301090875299,110.24734069521075,32.71484375,16,10,7,9
38,2004-06-09T04:13:39.049939Z,-8.652551152590728,110.0765717759639,62.01171875,12,6,6,6
39,2004-06-09T04:28:49.954203Z,-7.774904529438165,109.29699478928147,133.30078125,11,7,7,4
40,2004-06-09T09:14:42.988129Z,-8.318094192303617,110.99310224787267,111.81640625,9,5,5,4
41,2004-06-09T15:22:23.905792Z,-8.408732050526366,110.69674271322928,24.90234375,13,8,6,7
42,2004-06-09T17:33:07.805873Z,-8.940843241376331,111.28190251065772,97.16796875,28,20,17,11
43,2004-06-09T19:42:16.296295Z,-8.363625256194434,110.31041718944394,106.93359375,32,22,12,20
44,2004-06-09T23:18:43.747985Z,-8.146092443523681,109.66404240559613,92.28515625,13,10,4,9
45,2004-06-10T04:04:48.772097Z,-8.914602500401552,110.1752782937073,11.23046875,47,31,30,17
46,2004-06-10T04:34:58.426086Z,-8.353814836109441,109.64567148325568,63.96484375,28,18,14,14
47,2004-06-10T07:56:09.501734Z,-8.788158260869714,110.67001691864955,55.17578125,13,7,7,6
48,2004-06-10T11:23:24.200614Z,-8.715923110824622,110.27433019123636,87.40234375,8,4,4,4
49,2004-06-10T17:45:30.640416Z,-8.706768420871093,110.78685746392003,50.29296875,28,15,14,14
50,2004-06-11T06:19:43.294790Z,-8.869385485492755,110.1123424929998,31.73828125,19,11,10,9
51,2004-06-11T12:02:28.442396Z,-8.497466919912176,109.29494416772583,134.27734375,10,7,6,4
52,2004-06-11T13:07:51.784345Z,-8.824362136661529,110.43618274881577,28.80859375,28,15,13,15
53,2004-06-11T22:12:39.564650Z,-7.487290847717829,110.67824299399047,119.62890625,8,5,4,4
54,2004-06-11T22:21:47.199721Z,-8.363510789078601,110.11277861216216,85.44921875,25,14,13,12
55,2004-06-12T00:51:20.966938Z,-9.095345777873854,110.56219568310424,62.01171875,20,12,11,9
56,2004-06-12T08:26:59.121395Z,-9.518039282910406,111.58963492218837,4.39453125,17,12,6,11
57,2004-06-12T13:18:55.298464Z,-8.300379398035776,110.28349156995127,31.73828125,22,13,12,10
58,2004-06-12T16:09:14.038948Z,-8.986626931317645,109.94127104702616,26.85546875,42,30,26,16
59,2004-06-12T17:33:32.812296Z,-8.41742188294258,111.0201956028627,90.33203125,13,7,7,6
60,2004-06-12T17:52:39.908480Z,-8.31760986541208,111.27154229757716,103.02734375,17,11,9,8
61,2004-06-12T21:09:56.094473Z,-8.517152168610368,110.21150701685539,38.57421875,23,12,12,11
62,2004-06-12T22:31:07.626525Z,-7.486951571013899,109.8445406153455,16.11328125,8,4,4,4
63,2004-06-13T06:09:44.067704Z,-8.190381106758482,109.29583868624691,150.87890625,12,9,7,5
64,2004-06-13T07:35:32.561741Z,-8.752061086857719,110.2833069017938,26.85546875,40,24,23,17
65,2004-06-13T16:35:38.241466Z,-8.779180298259755,110.33725582309974,62.98828125,9,5,5,4
66,2004-06-13T17:11:02.362977Z,-8.73369830540871,110.93974764428818,52.24609375,9,6,5,4
