time_utc,latitude,longitude,depth,errh_km,errz_km,nbranch,cid,id,rmsP,rmsS
2004-06-03T09:19:53.344000Z,-8.28871,110.28831,30.066,-1.0,-1.0,1,2,1,0.0,0.0
2004-06-03T13:40:43.246000Z,-8.21428,110.36488,26.896,-1.0,-1.0,1,39,2,0.0,0.0
2004-06-03T14:46:31.682000Z,-8.91775,110.56468,32.002,-1.0,-1.0,1,5,3,0.0,0.0
2004-06-03T16:10:42.137000Z,-8.43823,111.13724,71.698,-1.0,-1.0,1,31,4,0.0,0.0
2004-06-04T02:18:13.997000Z,-9.05732,110.28057,21.496,0.466,0.357,2,1,5,0.28,0.06
2004-06-04T03:28:38.176000Z,-7.90074,109.85425,23.931,-1.0,-1.0,1,11,6,0.0,0.0
2004-06-04T11:58:25.801000Z,-8.96912,110.34463,63.38,-1.0,-1.0,1,6,7,0.0,0.0
2004-06-04T12:28:43.194000Z,-8.47511,110.22894,40.073,-1.0,-1.0,1,15,8,0.0,0.0
2004-06-04T16:23:08.517000Z,-8.93356,110.43933,18.166,-1.0,-1.0,1,8,9,0.0,0.0
2004-06-04T16:29:07.984000Z,-8.15631,110.59113,123.088,-1.0,-1.0,1,4,10,0.0,0.0
2004-06-04T16:38:21.242000Z,-8.94278,110.44066,35.049,-1.0,-1.0,1,10,11,0.0,0.0
2004-06-04T18:25:08.084000Z,-9.03506,110.28191,23.647,0.467,0.357,2,1,12,0.28,0.06
2004-06-04T18:53:09.834000Z,-8.32691,110.10189,29.984,-1.0,-1.0,1,12,13,0.0,0.0
2004-06-04T21:04:22.967000Z,-8.29793,110.95528,21.995,-1.0,-1.0,1,13,14,0.0,0.0
2004-06-05T01:03:20.727000Z,-8.4896,110.19563,79.521,-1.0,-1.0,1,14,15,0.0,0.0
2004-06-05T09:25:26.804000Z,-8.50146,111.17198,80.757,-1.0,-1.0,1,7,16,0.0,0.0
2004-06-05T15:13:03.113000Z,-8.62134,110.64323,61.074,-1.0,-1.0,1,16,17,0.0,0.0
2004-06-05T19:02:32.516000Z,-9.09296,110.55537,30.931,-1.0,-1.0,1,17,18,0.0,0.0
2004-06-06T20:54:38.163000Z,-9.07846,110.62074,18.001,-1.0,-1.0,1,18,19,0.0,0.0
2004-06-07T10:14:14.003000Z,-8.00416,111.21036,13.018,-1.0,-1.0,1,9,20,0.0,0.0
2004-06-07T12:06:34.394000Z,-8.84924,110.41534,80.098,-1.0,-1.0,1,20,21,0.0,0.0
2004-06-08T11:03:49.536000Z,-8.77481,110.45734,36.984,-1.0,-1.0,1,21,22,0.0,0.0
2004-06-08T14:47:43.642000Z,-9.04817,110.72878,29.778,-1.0,-1.0,1,22,23,0.0,0.0
2004-06-08T15:22:29.698000Z,-8.22481,110.81477,87.675,-1.0,-1.0,1,23,24,0.0,0.0
2004-06-09T00:36:28.359000Z,-8.71619,110.29675,38.014,-1.0,-1.0,1,24,25,0.0,0.0
2004-06-09T04:28:50.313000Z,-8.18924,109.08319,79.521,-1.0,-1.0,1,25,26,0.0,0.0
