time_utc,latitude,longitude,depth,errx_m,erry_m,errz_m,cid,id,errh_km,errz_km
2004-06-04T02:18:13.950000Z,-9.061526,110.285848,21.67,335.6,265.3,281.0,1,5,0.4277983754059849,0.281
2004-06-04T18:25:08.120000Z,-9.031119,110.28029,23.406,330.4,260.1,309.5,1,12,0.42049514860459447,0.3095
2004-06-08T11:03:49.550000Z,-8.776137,110.464038,35.755,188.5,342.7,560.4,1,22,0.3911208764563712,0.5604
2004-06-11T13:07:51.580000Z,-8.803713,110.466561,30.76,204.3,328.2,381.2,1,38,0.38659245983334956,0.3812
2004-06-03T09:19:53.340000Z,-8.287957,110.288167,30.333,1641.9,1910.7,2708.9,2,1,2.519247923488278,2.7089000000000003
2004-06-04T12:28:43.180000Z,-8.475038,110.232796,39.928,3136.6,2064.3,3113.2,2,8,3.7549426160728476,3.1132
2004-06-12T13:18:55.300000Z,-8.27101,110.287874,30.357,1634.8,1957.8,2746.4,2,43,2.5505983376455026,2.7464
2004-06-12T21:09:55.920000Z,-8.480339,110.2177,38.588,3020.6,2047.0,4327.7,2,48,3.648867407840411,4.3277
2004-06-10T12:20:46.480000Z,-7.370624,109.360091,14.083,84.3,138.0,180.7,7,34,0.16171113134227957,0.1807
2004-06-11T17:31:51.780000Z,-7.384832,109.377604,18.4,87.4,147.0,149.7,7,40,0.1710197649396116,0.1497
