time,latitude,longitude,depth,rms,nphs,gap,dist,errh_km,errz_km,time_utc,quality_pass
1086222181.404784,-8.13655,109.727467,249.835286,0.508415,25,240.376,48.4139,64.46,5.79,2004-06-03 00:23:01.404783964+00:00,False
1086254393.344195,-8.288706,110.288306,30.066243,0.229909,17,262.166,32.378,2.77,3.67,2004-06-03 09:19:53.344194889+00:00,True
1086270043.24569,-8.214275,110.364877,26.895508,0.157515,9,264.182,27.7925,4.85,5.09,2004-06-03 13:40:43.245690107+00:00,True
1086273991.682105,-8.917747,110.564676,32.001628,0.262967,29,309.363,88.7429,4.05,7.27,2004-06-03 14:46:31.682105064+00:00,False
1086277743.13229,-8.47643,112.457231,157.101562,0.316847,9,352.412,189.899,75.63,63.1,2004-06-03 15:49:03.132289886+00:00,False
1086279042.13662,-8.438226,111.137241,71.697591,0.257026,24,311.089,40.1955,5.67,3.45,2004-06-03 16:10:42.136620045+00:00,False
1086281992.714831,-8.800501,110.989896,38.013672,0.423901,15,328.662,84.9481,9.24,16.37,2004-06-03 16:59:52.714831114+00:00,False
1086315493.920458,-9.060022,110.292569,22.942383,0.453765,38,306.516,111.874,4.43,9.91,2004-06-04 02:18:13.920458078+00:00,False
1086319718.175797,-7.900742,109.854255,23.930664,0.276968,29,196.509,22.3336,2.52,3.56,2004-06-04 03:28:38.175796986+00:00,True
1086327654.038479,-8.895352,111.774066,17.589193,0.326482,27,329.054,126.202,8.17,20.2,2004-06-04 05:40:54.038479090+00:00,False
1086350305.801355,-8.969124,110.344631,63.379557,0.38515,22,311.199,100.624,7.86,16.2,2004-06-04 11:58:25.801354885+00:00,False
1086352123.19444,-8.475113,110.228942,40.072591,0.336224,16,284.558,54.0718,6.66,9.01,2004-06-04 12:28:43.194439888+00:00,False
1086362569.889174,-10.104692,109.988219,243.740885,0.384078,15,338.904,248.631,30.56,9.61,2004-06-04 15:22:49.889173985+00:00,False
1086366188.517101,-8.933555,110.439326,18.16569,0.485267,60,303.582,94.6497,3.4,4.65,2004-06-04 16:23:08.517101049+00:00,False
1086366547.984331,-8.156311,110.591135,123.088216,0.266702,35,206.155,7.40729,6.36,2.44,2004-06-04 16:29:07.984330893+00:00,False
1086367101.242464,-8.942777,110.440658,35.048828,0.356658,21,309.851,104.659,5.61,14.5,2004-06-04 16:38:21.242464066+00:00,False
1086367156.709786,-9.016549,111.246292,31.754557,0.462667,19,328.421,101.309,8.66,13.95,2004-06-04 16:39:16.709785938+00:00,False
1086373508.160593,-9.032357,110.269907,22.201172,0.347678,17,310.42,109.647,7.26,12.11,2004-06-04 18:25:08.160593033+00:00,False
1086375189.833622,-8.326909,110.101891,29.983887,0.217055,24,281.944,45.3842,3.0,4.21,2004-06-04 18:53:09.833621979+00:00,True
1086383062.966657,-8.297927,110.955284,21.99528,0.270891,35,281.21,15.4646,2.1,1.45,2004-06-04 21:04:22.966656923+00:00,True
1086397400.726759,-8.489604,110.195633,79.521484,0.225785,10,287.344,73.547,21.63,21.86,2004-06-05 01:03:20.726758957+00:00,False
1086427526.804111,-8.50146,111.17198,80.756836,0.275536,28,305.892,47.941,6.41,4.45,2004-06-05 09:25:26.804111004+00:00,False
