time,latitude,longitude,depth,rms,nphs,gap,dist,errh_km,errz_km,time_utc
1086254393.344195,-8.288706,110.288306,30.066243,0.229909,17,262.166,32.378,2.77,3.67,2004-06-03 09:19:53.344194889+00:00
1086270043.24569,-8.214275,110.364877,26.895508,0.157515,9,264.182,27.7925,4.85,5.09,2004-06-03 13:40:43.245690107+00:00
1086319718.175797,-7.900742,109.854255,23.930664,0.276968,29,196.509,22.3336,2.52,3.56,2004-06-04 03:28:38.175796986+00:00
1086375189.833622,-8.326909,110.101891,29.983887,0.217055,24,281.944,45.3842,3.0,4.21,2004-06-04 18:53:09.833621979+00:00
1086383062.966657,-8.297927,110.955284,21.99528,0.270891,35,281.21,15.4646,2.1,1.45,2004-06-04 21:04:22.966656923+00:00
1086603254.002614,-8.004155,111.210361,13.018392,0.221082,12,253.35,25.17,2.72,3.62,2004-06-07 10:14:14.002614021+00:00
1086684168.214053,-7.122345,109.999929,-1.321981,0.141955,10,176.989,5.14817,4.97,3.88,2004-06-08 08:42:48.214052916+00:00
1086692629.535993,-8.774813,110.457341,36.984212,0.428129,62,283.544,76.9082,2.76,4.83,2004-06-08 11:03:49.535993099+00:00
1086708149.697773,-8.224813,110.81477,87.674805,0.271092,33,240.21,9.0078,4.49,2.03,2004-06-08 15:22:29.697772980+00:00
1086794543.828344,-8.369723,110.713694,34.142904,0.16628,14,280.571,45.4587,4.24,6.72,2004-06-09 15:22:23.828344107+00:00
1086802389.9476,-8.235352,111.424418,122.923503,0.358281,57,279.886,53.2283,4.25,2.34,2004-06-09 17:33:09.947599888+00:00
1086840289.038683,-8.894034,110.167318,22.612956,0.447575,62,286.298,99.5984,3.18,4.0,2004-06-10 04:04:49.038682938+00:00
1086842098.413959,-8.30649,109.656581,65.273763,0.317221,41,260.925,67.5804,4.68,7.64,2004-06-10 04:34:58.413959026+00:00
1086870046.480727,-7.370503,109.360232,14.006673,0.185942,19,265.91,22.7762,1.85,2.88,2004-06-10 12:20:46.480726957+00:00
1086975111.779367,-7.384994,109.377464,18.453939,0.115591,13,259.466,20.8679,2.36,2.89,2004-06-11 17:31:51.779366970+00:00
1087046335.307015,-8.27158,110.286984,30.478027,0.223779,24,260.075,30.5637,2.52,2.63,2004-06-12 13:18:55.307014942+00:00
1087074595.929201,-8.480382,110.220947,39.08431,0.329959,25,285.371,54.8691,4.45,5.15,2004-06-12 21:09:55.929200888+00:00
1087079467.903604,-7.498287,109.862163,13.183105,0.146201,12,133.893,4.23674,2.42,2.94,2004-06-12 22:31:07.903604031+00:00
1087112132.523156,-8.725412,110.308739,27.719076,0.424723,58,291.418,76.0901,2.74,4.28,2004-06-13 07:35:32.523155928+00:00
1087157162.159563,-6.796791,111.949336,10.094727,0.404772,37,295.696,47.3349,4.08,4.38,2004-06-13 20:06:02.159563065+00:00
