idx,time_utc,latitude,longitude,depth,n_picks,n_stations,n_P,n_S
0,2004-06-03T00:23:01.353944Z,-8.293826549417485,109.63267893134542,248.53515625,25,18,12,13
1,2004-06-03T09:19:53.310058Z,-8.318484171056403,110.28111380194206,28.80859375,17,10,7,10
2,2004-06-03T13:40:43.027515Z,-8.235324630450515,110.34472729292114,31.73828125,9,5,5,4
3,2004-06-03T14:46:31.445897Z,-8.948402141140944,110.54822521224456,22.94921875,29,16,14,15
4,2004-06-03T15:49:03.865226Z,-8.243964743692445,112.12443407211569,203.61328125,9,6,6,3
5,2004-06-03T16:10:42.353114Z,-8.389349660743198,111.13319328843096,77.63671875,24,14,13,11
6,2004-06-03T16:59:52.588514Z,-8.841094415747989,111.01934492079104,35.64453125,15,9,7,8
7,2004-06-04T02:18:13.558564Z,-9.06717571190879,110.28067167284658,8.30078125,38,25,22,16
8,2004-06-04T03:28:38.453091Z,-7.9020792572727325,109.84945309918032,24.90234375,29,17,14,15
9,2004-06-04T05:40:53.995698Z,-8.922475411797068,111.77080828943652,11.23046875,27,17,16,11
10,2004-06-04T11:58:25.862108Z,-8.995911341358687,110.35714824588167,65.91796875,22,13,10,12
11,2004-06-04T12:28:43.524283Z,-8.472963132371154,110.255583764921,47.36328125,16,8,8,8
12,2004-06-04T15:22:48.456714Z,-10.8010945814231,109.67751452870944,103.02734375,15,10,8,7
13,2004-06-04T16:23:08.556682Z,-8.948404768752898,110.51001360239796,10.25390625,60,40,37,23
14,2004-06-04T16:29:08.153830Z,-8.247240388031855,110.49728809363786,122.55859375,35,20,19,16
15,2004-06-04T16:38:21.173843Z,-8.9840499087736,110.43358355829814,31.73828125,21,12,9,12
16,2004-06-04T16:39:16.678674Z,-9.030861349445182,111.23618084805292,18.06640625,19,15,5,14
17,2004-06-04T18:25:07.814437Z,-9.05527555158955,110.25519732778008,14.16015625,17,13,8,9
18,2004-06-04T18:53:11.011159Z,-8.235156367580375,110.10317519956872,42.48046875,24,13,13,11
19,2004-06-04T21:04:22.861889Z,-8.318275554380476,110.96777748244851,22.94921875,35,18,17,18
20,2004-06-05T01:03:22.095808Z,-8.651231971519366,110.26819523437455,45.41015625,10,6,4,6
21,2004-06-05T09:25:26.938087Z,-8.48437591433496,111.15878863241451,85.44921875,28,16,14,14
22,2004-06-05T14:53:26.491820Z,-8.792484432609871,111.54123485185096,31.73828125,13,7,7,6
